Question number,Question,Entity,Table,Figure,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Answer9,Answer10,Answer11,Answer12,Answer13,Answer14,Answer15,Answer16,Answer17,Answer18,Answer19,Answer20,Answer21,Answer22,Answer23,Answer24,Answer25,Answer26,Answer27,Answer28,Answer29,Answer30
11,What is EIM?,"EIM
External Identification Mean",Table 1 — EIM and/or PnC in EVSEs,"Figure 3 — Connection coordination Seq 1: AC EVSE with PnC and EIM and matching process not 
started before EIM, 5 % control pilot duty cycle after plug-in
Figure 4 — Connection coordination Seq 2: AC EVSE with PnC and EIM and matching process not 
started before EIM, control pilot state X1 after plug-in
Figure 5 — Connection coordination Seq 3: AC EVSE with PnC and EIM and matching process 
started before EIM, 5 % control pilot duty cycle after plug-in
Figure 6 — Connection coordination Seq 4: AC EVSE with PnC and EIM and matching process 
started before EIM, control pilot state X1 after plug-in
Figure 7 — Connection coordination Seq 5: AC EVSE with EIM, EIM before plug-in, control pilot 
state X2 after plug-in
Figure 9 — Connection coordination Seq 7: AC EVSE timeout handling for 5 % control pilot duty 
cycle",External Identification Mean,"Table 1 gives a summary of PnC and/or EIM implementation on EVSEs. Details are given in the following figures. For example, Seq 1 b), c), and d) means that the branches b), c), and d) apply.","Figure 3 shows an AC EVSE supporting HLC-C with PnC and EIM. The matching process is not started when EIM is done. The EVSE applies 5 % control pilot duty cycle after plug-in. Control pilot state X1 could be applied for a short time until the control pilot oscillator is switched on. If an EVSE only supports EIM or PnC, only some branches exist.","Figure 4 shows an AC EVSE supporting HLC-C with PnC and EIM. The matching process is not started when EIM is done. The EVSE applies control pilot state X1 after plug-in. If an EVSE only supports EIM or PnC, only some branches exist.","Figure 5 shows an AC EVSE supporting HLC-C with PnC and EIM. The matching process is already started when EIM is done. The EVSE applies 5 % control pilot duty cycle after plug-in. Control pilot state X1 could be applied for a short time until the control pilot oscillator is switched on. If an EVSE only supports EIM or PnC, only some branches exist.","Figure 6 shows an AC EVSE supporting HLC-C with PnC and EIM. The matching process is already started when EIM is done. The EVSE applies control pilot state X1 after plug-in. If an EVSE only supports EIM or PnC, only some branches exist.",Figure 7 shows an AC EVSE supporting HLC-C with PnC and EIM. EIM is done before plug-in.,Figure 8 shows a DC EVSE supporting HLC-C with PnC and EIM. First branch shows a PnC case. Second branch shows a case where EIM is done after plug-in. Third branch shows a case where EIM is done before plug-in.,"[V2G3-M06-08] After positive EIM, if no matching process is running, the EVSE shall signal control pilot state E/F for T_step_EF, then signal control pilot state X1/X2 (nominal).",,,,,,,,,,,,,,,,,,,,,
12,What is CM_SLAC_PARM.REQ?,CM_SLAC_PARM.REQ,"Table A.2 — Involved MMEs for parameters exchange
Table A.1 (continued)
Table 3 — Timing and constant values
Table A.4 (continued)",Figure A.9 — Example of sequence chart of matching process error handling,"Before the signal strength measurement starts, the EV broadcasts the parameters to be used for the following signal strength measurement sequence by means of the message CM_SLAC_PARM.REQ. Any",unmatched EVSE which receives the parameter exchange broadcast sends a response to the EV by means of the message CM_SLAC_PARM.CNF.,[V2G3-A09-04] The MMEs for the parameter exchange shall be used with the following content and be sent as Ethernet unicast/broadcast messages as defined,Figure 9 Shows AC EVSE control pilot timeout handling for 5 % control pilot duty cycle. See [V2G3 M06-07].,"Figure A.9 gives an example of matching process error handling. The low-layer communication module of the EV is awake and the low-layer communication module of the EVSE is asleep. The EVCC sends first CM_SLAC_PARM.REQ message immediately after cable plug-in. The EVSE has to boot its low-layer communication module and is not able to answer the CM_SLAC_PARM.REQ message. After the low-layer communication module on the EVSE side is ready for communication, it sends a CM_SLAC_PARM.CNF.",,,,,,,,,,,,,,,,,,,,,,,,,
13,What is CM_SLAC_PARM.CNF?,CM_SLAC_PARM.CNF,"Table A.2 — Involved MMEs for parameters exchange
Table A.1 — Timing and constant values
Table A.1 (continued)
Table A.4 (continued)","Figure A.4 — Sequence chart of signal strength measurement
Figure A.9 — Example of sequence chart of matching process error handling","Before the signal strength measurement starts, the EV broadcasts the parameters to be used for the following signal strength measurement sequence by means of the message CM_SLAC_PARM.REQ. Any",unmatched EVSE which receives the parameter exchange broadcast sends a response to the EV by means of the message CM_SLAC_PARM.CNF.,[V2G3-A09-04] The MMEs for the parameter exchange shall be used with the following content and be sent as Ethernet unicast/broadcast messages as defined.,"[V2G3-A09-10] If no valid CM_SLAC_PARM.CNF arrives at the EV when TT_match_response expires, the EV shall retransmit the request and wait again for TT_match_ response. The total number of retries is given by C_EV_match_retry. If C_EV_ match_retry is reached, the matching process shall be considered as FAILED.","[V2G3-A09-09] If the EV receives a CM_SLAC_PARM.CNF with invalid content, it shall be ignored. Content which deviate from the MME definition in Table A.2 is invalid.","Figure A.9 gives an example of matching process error handling. The low-layer communication module of the EV is awake and the low-layer communication module of the EVSE is asleep. The EVCC sends first CM_SLAC_PARM.REQ message immediately after cable plug-in. The EVSE has to boot its low-layer communication module and is not able to answer the CM_SLAC_PARM.REQ message. After the low-layer communication module on the EVSE side is ready for communication, it sends a CM_SLAC_PARM.CNF.",,,,,,,,,,,,,,,,,,,,,,,,
14,What is CM_START_ATTEN_CHAR.IND?,CM_START_ATTEN_CHAR.IND,"Table A.4 — MMEs parameters definition for SLAC
Table A.2 — Involved MMEs for parameters exchange
Table A.4 (continued)",Figure A.9 — Example of sequence chart of matching process error handling,"By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way.","After the parameter exchange, the EV starts the signal strength measurement process by sending C_EV_ start_atten_char_inds times the message CM_START_ATTEN_CHAR.IND followed by C_EV_match_MNBC number of M-SOUNDS. Based on these M-SOUNDS, all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message. Each CM_ATTEN_ CHAR.IND is confirmed by the EV by an individual CM_ATTEN_CHAR.RSP.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,What is CM_MNBC_SOUND.IND?,CM_MNBC_SOUND.IND,"Table A.4 (continued)
Table A.1 — Timing and constant values",Figure A.4 — Sequence chart of signal strength measurement,"By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way.","After the parameter exchange, the EV starts the signal strength measurement process by sending C_EV_ start_atten_char_inds times the message CM_START_ATTEN_CHAR.IND followed by C_EV_match_MNBC number of M-SOUNDS. Based on these M-SOUNDS, all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message. Each CM_ATTEN_ CHAR.IND is confirmed by the EV by an individual CM_ATTEN_CHAR.RSP.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,What is D-LINK_READY.indication?,D-LINK_READY.indication,"Table 4 — D-LINK_READY.indication primitive
Table A.1 (continued)
Table A.9 — MMEs parameters definition for amplitude map exchange","Figure 11 — Matching state machine
Figure A.8 — Sequence chart of amplitude map exchange","[V2G3-M07-21] As soon as the lower layers detect a data link after a wake-up, it shall send a D-LINK_READY.indication(link established) to HLE.","[V2G3-M09-16] As soon as the EV has successfully joined the logical network of the EVSE, both entities are in the status “Matched”. The communication node shall inform HLE through the D-LINK_READY.indication (link established) that HLE’s binding pro- cess can begin.","[V2G3-M09-18] When the low-layer communication module leaves the logical network, it shall inform HLE through the D-LINK_READY.indication (no link).","Figure 11 shows a high-level overview of the matching process. The default state of a PLC node at plug- in is “Unmatched”. A control pilot state change from state A, E or F to B, C or D triggers the matching process (state “Matching” in Figure 11) which determines the correct EV-EVSE matching by signal strength measurement. A successful matching process leads to the state “Matched” in Figure 11.",Any transition from the state “Matching” triggers a call of the primitive D-LINK_READY.indication to indicate a successful or failed data-link setup.,Any loss of the control pilot or a request from HLE leads to a reset to state “Unmatched”.,[V2G3-A09-120] The time between the detection of other stations in the current logical network after the SLAC_MATCH exchange and the indication D-LINK_READY.indication (link established) to higher layers shall not exceed the performance timer TP_ link_ready_notification.,"This Clause covers the situation where the communication link is lost. A loss of communication after the establishment of a data link [D-LINK_READY.indication(link established) was already indicated] is handled by higher layers, by requesting with D-LINK_ERROR.request.","[V2G3-M07-03] If a data link was established and a D-LINK_READY.indication(link established) was already indicated to higher layers, any detected loss of the data link shall cause a D-LINK_READY.indication(no link) indication to higher layers.",,,,,,,,,,,,,,,,,,,,,
28,What is D-LINK_TERMINATE.request?,D-LINK_TERMINATE.request,"Table 5 — D-LINK_TERMINATE.request primitive
Table 3 — Timing and constant values",Figure 11 — Matching state machine,The D-LINK_TERMINATE.request requests lower layers to terminate the data link.,"[V2G3-A09-121] With receiving a D-LINK_TERMINATE.request from HLE, the low-layer commu- nication module shall leave the logical network, reset the NMK, and switch to matching state “Unmatched”. The low-layer communciation module shall follow the Clause “Leaving an AVLN” defined in the [HPGP].","[V2G3-M09-17] With receiving a D-LINK_TERMINATE.request from HLE, the communication node shall leave the logical network within TP_match_leave. All parameters related to the current link shall be set to the default value and shall change to the status “Unmatched”.","Figure 11 shows a high-level overview of the matching process. The default state of a PLC node at plug- in is “Unmatched”. A control pilot state change from state A, E or F to B, C or D triggers the matching process (state “Matching” in Figure 11) which determines the correct EV-EVSE matching by signal strength measurement. A successful matching process leads to the state “Matched” in Figure 11.",Any transition from the state “Matching” triggers a call of the primitive D-LINK_READY.indication to indicate a successful or failed data-link setup.,Any loss of the control pilot or a request from HLE leads to a reset to state “Unmatched”.,,,,,,,,,,,,,,,,,,,,,,,,
29,What is D-LINK_ERROR.request?,D-LINK_ERROR.request,"Table 6 — D-LINK_ERROR.request primitive
Table 3 — Timing and constant values",Figure 11 — Matching state machine,"This Clause covers the situation where the communication link is lost. A loss of communication after the establishment of a data link [D-LINK_READY.indication(link established) was already indicated] is handled by higher layers, by requesting with D-LINK_ERROR.request.","Figure 11 shows a high-level overview of the matching process. The default state of a PLC node at plug- in is “Unmatched”. A control pilot state change from state A, E or F to B, C or D triggers the matching process (state “Matching” in Figure 11) which determines the correct EV-EVSE matching by signal strength measurement. A successful matching process leads to the state “Matched” in Figure 11.",Any transition from the state “Matching” triggers a call of the primitive D-LINK_READY.indication to indicate a successful or failed data-link setup.,Any loss of the control pilot or a request from HLE leads to a reset to state “Unmatched”.,"[V2G3-M07-04] With receiving a D-LINK_ERROR.request from HLE in X1 state, the EVSE’s commu- nication node shall perform a state X1 to state E/F to state X1 or X2 transition.","[V2G3-M07-05] With receiving a D-LINK_ERROR.request in X2 state from HLE, the EVSE’s commu- nication node shall perform a state X2 to X1 to state E/F to state X1 or X2 transi- tion.","[V2G3-M07-13] With receiving a D-LINK_ERROR.request from HLE, the EV’s communication node shall change to Bx state, leave the logical network and change the matching state to “Unmatched” within TP_match_leave and wait for a new incoming matching trigger (control pilot X1 or X2 state).","[V2G3-M07-10] With receiving a D-LINK_ERROR.request from HLE, the EVSE’s communication node shall implement one of the two following options:",Option A: to have behaviour independent of the duty cycle:,[V2G3-M07-11] The requirements of 7.5.1.1 shall be applied to have behaviour independent of the duty cycle.,Option B: not to interrupt charging due to a control pilot state change to state E:,"[V2G3-M07-12] With receiving a D-LINK_ERROR.request from HLE, the EVSE’s communication node shall stay in X2 control pilot state, leave the logical network within TP_ match_leave, and change the matching state to “Unmatched” to be ready for a new matching process.","[V2G3-M07-14] With receiving a D-LINK_ERROR.request from HLE, the EV’s communication node shall implement one of the two following options:",Option A: to have behaviour independent of the duty cycle:,[V2G3-M07-15] The requirements of 7.5.2.1 shall be applied to have behaviour independent of the duty cycle.,Option B: not to interrupt charging due to a control pilot state change to state E:,"[V2G3-M07-16] With receiving a D-LINK_ERROR.request from HLE, the EV’s communication node shall keep the current state and leave the logical network and change the matching state to “unmatched”.",,,,,,,,,,,,,
16,What is CM_ATTEN_CHAR.IND?,CM_ATTEN_CHAR.IND,"Table A.4 (continued)
Table A.3 — EV_Discovering_Status definition","Figure A.4 — Sequence chart of signal strength measurement
Table A.1 (continued)"," Based on these M-SOUNDS, all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message.",The ATTEN_PROFILE within the message CM_ATTEN_CHAR.IND shall be calcu- lated by arithmetic mean of the ATTEN_PROFILE of the CM_ATTEN_PROFILE.IND of previous M-SOUNDS corrected by the attenuation of the receive path AttnRx- EVSE as described in A.9.4.1.,"The Average_Attenuation used for matching decision shall be calculated by the arithmetic mean of all groups in the CM_ATTEN_CHAR.IND message. To take implementation specifics into account, a weighted average may be used. When using a weighted average, the sum of the weights of all groups shall be one.","By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way."," After the parameter exchange, the EV starts the signal strength measurement process by sending C_EV_ start_atten_char_inds times the message CM_START_ATTEN_CHAR.IND followed by C_EV_match_MNBC number of M-SOUNDS.","Based on these M-SOUNDS, all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message. Each CM_ATTEN_ CHAR.IND is confirmed by the EV by an individual CM_ATTEN_CHAR.RSP.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].,"If the NUM_SOUNDS field in a CM_ATTEN_CHAR.IND is zero, then the ATTEN_ PROFILE has no significance and the whole messages shall be ignored. It is up to the EV to decide what number of M-SOUNDS used for the attenuation profile is sufficient for its decision (i.e. whether to discard CM_ATTEN_CHAR.IND if NUM_ SOUNDs is less than C_EV_match_MNBC).","If the EV receives a CM_ATTEN_CHAR.IND with invalid content, it shall be ignored.","If a CM_ATTEN_CHAR.IND is received and its origin is an EVSE that has not sent a CM_SLAC_PARM.CNF before, the message shall be processed and not ignored.","If the EVSE has not received a CM_ATTEN_CHAR.RSP within TT_match_response, it shall retransmit a CM_ATTEN_CHAR.IND when the TT_match_response expires and reset this timer. After C_EV_match_retry attempts, if no CM_ATTEN_CHAR. RSP is received by the EVSE, the matching process shall be considered as FAILED.","According to the result of the SLAC process, the low-layer communciation module on the EV side shall send its decision using the following relevant message after the CM_ATTEN_CHAR.IND message:","— if EV_Discovering_Status = EVSE_FOUND, the low-layer communciation module shall inform the corresponding EVSE by continuing the message flow as described in A.7.4;","— if EV_Discovering_Status = EVSE_POTENTIALLY_FOUND, the low-layer communciation module shall inform the most probable EVSE by continuing the message flow as described in A.7.3;","— if EV_Discovering_Status = EVSE_NOT_FOUND, the matching process shall be considered as FAILED.",,,,,,,,,,,,,,,
17,What is CM_ ATTEN_CHAR.RSP?,CM_ ATTEN_CHAR.RSP,"Table A.4 (continued)
Table A.1 — Timing and constant values
Table A.1 (continued)
Table A.4 (continued)
Table A.5 — MMEs parameters definition for validation process – First request-response
Table A.6 — MMEs parameters definition for validation process – Second request-response
Table A.7 — MMEs parameters definition for logical network parameter exchange",Figure A.4 — Sequence chart of signal strength measurement,all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message. Each CM_ATTEN_ CHAR.IND is confirmed by the EV by an individual CM_ATTEN_CHAR.RSP.,"By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].," After the parameter exchange, the EV starts the signal strength measurement process by sending C_EV_ start_atten_char_inds times the message CM_START_ATTEN_CHAR.IND followed by C_EV_match_MNBC number of M-SOUNDS.","According to the result of the SLAC process, the low-layer communciation module on the EV side shall send its decision using the following relevant message after the CM_ATTEN_CHAR.IND message:","— if EV_Discovering_Status = EVSE_FOUND, the low-layer communciation module shall inform the corresponding EVSE by continuing the message flow as described in A.7.4;","— if EV_Discovering_Status = EVSE_POTENTIALLY_FOUND, the low-layer communciation module shall inform the most probable EVSE by continuing the message flow as described in A.7.3;","— if EV_Discovering_Status = EVSE_NOT_FOUND, the matching process shall be considered as FAILED.","If the EVSE receives a CM_ATTEN_CHAR.RSP with invalid content, it shall be ignored. Content which deviate from the MME definition in Table A.4 is invalid.",,,,,,,,,,,,,,,,,,,,,
18,What is CM_ATTEN_PROFILE.IND?,CM_ATTEN_PROFILE.IND,"Table A.4 (continued)
Table A.1 — Timing and constant values
Table A.1 (continued)
","Figure A.4 — Sequence chart of signal strength measurement
Figure A.11 — HomePlug Green PHY-Transmission path example with SLAC relevant attenuations and calculations",The ATTEN_PROFILE within the message CM_ATTEN_CHAR.IND shall be calcu- lated by arithmetic mean of the ATTEN_PROFILE of the CM_ATTEN_PROFILE.IND of previous M-SOUNDS corrected by the attenuation of the receive path AttnRx- EVSE as described in A.9.4.1.,"By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way."," After the parameter exchange, the EV starts the signal strength measurement process by sending C_EV_ start_atten_char_inds times the message CM_START_ATTEN_CHAR.IND followed by C_EV_match_MNBC number of M-SOUNDS.","Based on these M-SOUNDS, all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message. Each CM_ATTEN_ CHAR.IND is confirmed by the EV by an individual CM_ATTEN_CHAR.RSP.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].,"The low-layer communication module on EV side does not know the value of AttnRxEVSE. Since this value has an impact on the SLAC measurement, the EVSE has to correct the measurement values by AttnRxEVSE before reporting the values back to the EV.","AttnRxEVSE is the insertion loss of the receiving path between the HomePlug Green PHY Modem and the charge coupler on EVSE side. In the example, a value of 3 dB is assumed (e.g. through to transformers, lines, coupling components).",,,,,,,,,,,,,,,,,,,,,,,
19,What is CM_VALIDATE.REQ?,CM_VALIDATE.REQ,"Table 3 — Timing and constant values
Table A.1 (continued)
Table A.3 — EV_Discovering_Status definition
Table A.4 (continued)
Table A.5 — MMEs parameters definition for validation process – First request-response
Table A.6 — MMEs parameters definition for validation process – Second request-response
Table A.7 (continued)","Figure A.5 — Sequence chart of validation process of matching decision
Figure 12 — Example of BCB-Toggle sequence with C_EV_vald_nb_toggles = 2 and active oscillator","The validation process is divided in two parts consisting of a CM_VALIDATE.REQ and CM_VALIDATE.CNF each. It is important to consider that the first and second request-response differ in the contents of the messages. In the following messages related to the first/second request-response are designated with “step 1” or “step 2”, respectively.","By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way."," After the parameter exchange, the EV starts the signal strength measurement process by sending C_EV_ start_atten_char_inds times the message CM_START_ATTEN_CHAR.IND followed by C_EV_match_MNBC number of M-SOUNDS.","Based on these M-SOUNDS, all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message. Each CM_ATTEN_ CHAR.IND is confirmed by the EV by an individual CM_ATTEN_CHAR.RSP.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].,"According to the result of the SLAC process, the low-layer communciation module on the EV side shall send its decision using the following relevant message after the CM_ATTEN_CHAR.IND message:","— if EV_Discovering_Status = EVSE_FOUND, the low-layer communciation module shall inform the corresponding EVSE by continuing the message flow as described in A.7.4;","— if EV_Discovering_Status = EVSE_POTENTIALLY_FOUND, the low-layer communciation module shall inform the most probable EVSE by continuing the message flow as described in A.7.3;","— if EV_Discovering_Status = EVSE_NOT_FOUND, the matching process shall be considered as FAILED.","If any received CM_VALIDATE.REQ contains invalid content, it shall be ignored. Content which deviate from the MME definition in Table A.5 and Table A.6 is inva- lid.","If any CM_VALIDATE.REQ contains a result field other than “ready”, the matching process shall be considered as FAILED."," After the signal strength measurement, the EV can decide on the basis of the results to request the EVSE for an additional validation process. As soon as the EVSE is ready to detect the control pilot line, the EV sends a random timer value TP_EV_vald_toggle to the EVSE. After sending the message, the EV switches the control pilot state in the sequence B-C-B. This switching sequence is called BCB-Toggle in the following.",The number of BCB-Toggles (C_EV_vald_nb_toggles) is chosen randomly in the available time.,,,,,,,,,,,,,,,,,
20,What is CM_VALIDATE.CNF?,CM_VALIDATE.CNF,"Table A.5 — MMEs parameters definition for validation process – First request-response
Table 3 — Timing and constant values
Table A.1 — Timing and constant values
Table A.1 (continued)
Table A.6 — MMEs parameters definition for validation process – Second request-response
Table A.7 (continued)",Figure A.5 — Sequence chart of validation process of matching decision,"The validation of matching decision is a method to validate the SLAC based matching by means of the control pilot line. In case the EV is not able to come to a distinct matching decision on base of the signal strength measurement, it may decide to do an additional validation process. The validation process is divided in two parts consisting of a CM_VALIDATE.REQ and CM_VALIDATE.CNF each. It is important to consider that the first and second request-response differ in the contents of the messages. In the following messages related to the first/second request-response are designated with “step 1” or “step 2”, respectively.","The second part of the validation process covers the control pilot toggle sequence on EV side and the counting of control pilot toggles on the EVSE side. The EV starts this process by sending the step 2 indicating “ready”. With receiving the step 2 CM_VALIDATE.REQ, the EVSE starts counting the BCB- toggles for a time window given by the timer field of the request. As soon as the timer expires, the EVSE sends a step 2 CM_VALIDATE.CNF to the EV containing the number of BCB-Toggles seen and the result field filled with “Success”. The field is filled with “failure” whenever the validation could not be performed or the number of seen BCB-Toggles does not contain valid data.","By means of the signal strength measurement, the EV has to determine which counterpart EVSE nodes are available and which one is the right one to connect to. Therefore, the EVSE measures the attenuation of the signal coming from the EV for different groups of frequencies and reports the signal strength back to the EV. Based on the reports, the EV determines the EVSE which is connected in a direct way."," After the parameter exchange, the EV starts the signal strength measurement process by sending C_EV_ start_atten_char_inds times the message CM_START_ATTEN_CHAR.IND followed by C_EV_match_MNBC number of M-SOUNDS.","Based on these M-SOUNDS, all potential EVSEs calculate the signal strength and send back the measurement result by means of the CM_ATTEN_CHAR.IND message. Each CM_ATTEN_ CHAR.IND is confirmed by the EV by an individual CM_ATTEN_CHAR.RSP.",The signal strength measurement method to be used is the SLAC defined in the [HPGP].,"According to the result of the SLAC process, the low-layer communciation module on the EV side shall send its decision using the following relevant message after the CM_ATTEN_CHAR.IND message:","— if EV_Discovering_Status = EVSE_FOUND, the low-layer communciation module shall inform the corresponding EVSE by continuing the message flow as described in A.7.4;","— if EV_Discovering_Status = EVSE_POTENTIALLY_FOUND, the low-layer communciation module shall inform the most probable EVSE by continuing the message flow as described in A.7.3;","— if EV_Discovering_Status = EVSE_NOT_FOUND, the matching process shall be considered as FAILED.","If the EVSE receives another CM_VALIDATE.REQ with a timer field equal to zero after sending out the step 1 CM_VALIDATE.CNF, the step 1 CM_VALIDATE.CNF shall be resent.","According to the EVSE Implementation, the EVSE can decide to answer to a CM_VALIDATE.REQ with the result field of CM_VALIDATE.CNF filled to “Failure”, if it does not have implemented the validation process feature. In this case, the EV shall decide","either to skip the validation process and continue the matching process with SLAC_MATCH.REQ message,","either to continue the validation process with the next available EVSE, which was “EVSE_POTENTIALLY_FOUND”",either to terminate the session if there is no other available EVSE with “EVSE_ POTENTIALLY_FOUND”,"If the EV does not receive any valid CM_VALIDATE.CNF for all retries, the EV shall stop the validation process with the current EVSE and continue the validation pro- cess with the next potential EVSE.","If any received CM_VALIDATE.CNF contains invalid content, it shall be ignored. Content which deviates from the MME definition in Table A.5 and Table A.6 is inva- lid.","If the result field of the step 1 CM_VALIDATE.CNF contains “Success”, the EV shall stop the validation process with the current EVSE and continue the validation pro- cess with the next potential EVSE.","If the result field of the step 2 CM_VALIDATE.CNF contains “failure”, “not ready”, or “not required”, the EV shall stop the validation process with the current EVSE and continue the validation process with the next potential EVSE.",,,,,,,,,,,
21,What is CM_SLAC_MATCH.REQ?,CM_SLAC_MATCH.REQ,"Table A.1 — Timing and constant values
Table A.1 (continued)
Table A.7 — MMEs parameters definition for logical network parameter exchange
Table A.4 (continued)
Table A.5 — MMEs parameters definition for validation process – First request-response
Table A.6 — MMEs parameters definition for validation process – Second request-response
Table A.7 (continued)","Figure A.5 — Sequence chart of validation process of matching decision
Figure A.2 — Sequence chart of HomePlug Green PHY matching process (part 2
","According to the result of the SLAC process, the low-layer communciation module on the EV side shall send its decision using the following relevant message after the CM_ATTEN_CHAR.IND message:","— if EV_Discovering_Status = EVSE_FOUND, the low-layer communciation module shall inform the corresponding EVSE by continuing the message flow as described in A.7.4;","— if EV_Discovering_Status = EVSE_POTENTIALLY_FOUND, the low-layer communciation module shall inform the most probable EVSE by continuing the message flow as described in A.7.3;","— if EV_Discovering_Status = EVSE_NOT_FOUND, the matching process shall be considered as FAILED.","If the EVSE receives another CM_SLAC_MATCH.REQ from the same EV, this means that the EV retransmitted its request for some reason (i.e. the CM_SLAC_MATCH. CNF was not received). The EVSE shall respond to the request again.","If the EVSE receives a CM_SLAC_MATCH.REQ with invalid content, it shall be ignored. Content which deviate from the MME definition in Table A.7 is invalid.",,,,,,,,,,,,,,,,,,,,,,,,
22,What is CM_SLAC_MATCH.CNF?,CM_SLAC_MATCH.CNF,"Table A.7 — MMEs parameters definition for logical network parameter exchange
Table A.8 — MMEs parameters definition for joining the logical network
Table A.7 (continued)
Table A.1 (continued)","Figure A.5 — Sequence chart of validation process of matching decision
Figure A.2 — Sequence chart of HomePlug Green PHY matching process (part 2
","If the EV receives a CM_SLAC_MATCH.CNF with invalid content, it shall be ignored. Content which deviate from the MME definition in Table A.7 is invalid.","If no link is established within the max(TT_match_join) after receiving CM_SLAC_ MATCH.CNF, the EV shall consider that the matching process is FAILED.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,What is CM_SET_KEY.REQ?,CM_SET_KEY.REQ,"Table A.8 — MMEs parameters definition for joining the logical network
Table A.7 (continued)
","Figure A.7 — Sequence chart of joining the logical network
Figure A.1 — Sequence chart of HomePlug Green PHY matching process (part 1)",The EVSE shall configure its low-layer communciation module to the NID and NMK values sent in CM_SLAC_MATCH.CNF at the latest after sending the CM_SLAC_MATCH.CNF. The configuration can also be done at any time before (e.g. after unplugging of a previous EV). The configuration shall be done by sending a CM_SET_KEY.REQ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,What is CM_SET_KEY.CNF?,CM_SET_KEY.CNF,"Table A.3 — EV_Discovering_Status definition
Table A.8 — MMEs parameters definition for joining the logical network","Figure A.7 — Sequence chart of joining the logical network
Figure A.1 — Sequence chart of HomePlug Green PHY matching process (part 1)",The low-layer communciation module shall join the logical network only if the EV_ Discovering_status is EVSE_FOUND.,"According to the result of the SLAC process, the low-layer communciation module on the EV side shall send its decision using the following relevant message after the CM_ATTEN_CHAR.IND message:","— if EV_Discovering_Status = EVSE_FOUND, the low-layer communciation module shall inform the corresponding EVSE by continuing the message flow as described in A.7.4;","— if EV_Discovering_Status = EVSE_POTENTIALLY_FOUND, the low-layer communciation module shall inform the most probable EVSE by continuing the message flow as described in A.7.3;","— if EV_Discovering_Status = EVSE_NOT_FOUND, the matching process shall be considered as FAILED.",It is up to the implementation how to handle a negative response in a CM_SET_KEY.CNF or a missing CM_SET_KEY.CNF at all.,,,,,,,,,,,,,,,,,,,,,,,,
